distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2017-10-01,0.0045000000000000005,4,1,FALSE,9.41248474121096,3.6407639818618023,78.9375,97.978125,-0.328366115211687,-0.022198645475147133
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2017-11-01,0.0076,5,1,FALSE,0.9849914550781478,4.361180314723926,79.9,97.3825,-0.11312437605017533,0.20078327868730872
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2017-12-01,0.006,5,1,FALSE,-9.055010986328103,4.779858244923229,83.15,97.7805,0.6963262419455324,0.311040472262289
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-01-01,0.009600000000000001,5,1,FALSE,-9.465008544921853,5.547772470974961,76.45,97.666,-0.7648132821567829,-0.44510937808275747
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-02-01,0.0026,5,1,FALSE,-10.705004882812478,4.546205116593857,83.95,97.54599999999999,-0.24235456166204866,-0.1279944508041103
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-03-01,0.0092,5,1,FALSE,-2.8200134277343523,5.177759911503492,84.4,97.681,-0.3626156847401729,0.1192164639506292
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-04-01,0.0062,5,1,FALSE,-0.7800109863281023,4.978628816152766,67.95,97.736,-0.6309033621329379,0.06412312787090911
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-05-01,0.0052,5,1,FALSE,16.79998779296877,5.189776646461443,81.2,97.2205,-0.8240821829548949,0.02548372320763594
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-06-01,0.0042,5,1,FALSE,18.384991455078147,3.1746150148469683,85.75,97.4245,-0.7288470961429134,0.4777028336367073
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-07-01,0.0035,6,1,FALSE,22.320825195312523,6.146742262618882,74.08333333333333,97.55041666666666,-0.2905222999301193,-0.2897811443130006
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-08-01,0.0034000000000000002,5,1,FALSE,21.595001220703146,6.077249361687077,69.2,97.56,-0.6635689646063176,-0.20910547090138812
