airport_row_id,monitor_row_id,distance_m,distance_km,distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,monitor_id,county_fips,state_name,county_name,monitor_lat,monitor_lon,same_county,is_reid_hillview
8250,135,4541.8660519513205,4.54186605195132,3-5 km,19860,KFET,KFET,FET,Fremont Municipal Airport,small_airport,31053,Dodge,310530005,31053,Nebraska,Dodge,41.425,-96.48,TRUE,FALSE
8447,68,4554.512420331395,4.554512420331395,3-5 km,3575,KGYY,KGYY,GYY,Gary/Chicago International Airport,medium_airport,18089,Lake,180890033,18089,Indiana,Lake,41.64906,-87.447282,TRUE,FALSE
8447,69,4474.731622425922,4.474731622425922,3-5 km,3575,KGYY,KGYY,GYY,Gary/Chicago International Airport,medium_airport,18089,Lake,180890034,18089,Indiana,Lake,41.653501,-87.435561,TRUE,FALSE
8511,110,3745.5882357432224,3.7455882357432224,3-5 km,20058,KHKS,KHKS,HKS,Hawkins Field,small_airport,28049,Hinds,280490020,28049,Mississippi,Hinds,32.329111,-90.182722,TRUE,FALSE
8568,42,4494.059796954401,4.4940597969544,3-5 km,3599,KHVN,KHVN,HVN,Tweed New Haven Airport,medium_airport,09170,South Central Connecticut,090090027,09009,Connecticut,New Haven,41.3014,-72.902871,FALSE,FALSE
8614,161,4035.155135882395,4.035155135882395,3-5 km,20143,KI73,NA,I73,Moraine Air Park,small_airport,39113,Montgomery,391137001,39113,Ohio,Montgomery,39.71451,-84.21804,TRUE,FALSE
8655,71,4888.070573730223,4.888070573730223,3-5 km,3610,KIND,KIND,IND,Indianapolis International Airport,large_airport,18097,Marion,180970063,18097,Indiana,Marion,39.760869,-86.297195,TRUE,FALSE
8804,23,2496.4504133682613,2.4964504133682612,1-3 km,3632,KLAX,KLAX,LAX,Los Angeles International Airport,large_airport,06037,Los Angeles,060375005,06037,California,Los Angeles,33.95507,-118.43049,TRUE,FALSE
8829,22,3571.6783798326433,3.5716783798326435,3-5 km,3644,KLGB,KLGB,LGB,Long Beach International Airport,large_airport,06037,Los Angeles,060374004,06037,California,Los Angeles,33.79236,-118.17533,TRUE,FALSE
8869,77,800.2331678710937,0.8002331678710937,0-1 km,3649,KLOU,KLOU,LOU,Bowman Field,medium_airport,21111,Jefferson,211110067,21111,Kentucky,Jefferson,38.22876,-85.65452,TRUE,FALSE
8982,49,2548.6938313371943,2.5486938313371943,1-3 km,20468,KMAC,KMAC,MAC,Macon Downtown Airport,small_airport,13021,Bibb,130210012,13021,Georgia,Bibb,32.805264,-83.543493,TRUE,FALSE
9046,101,4998.051787031514,4.998051787031514,3-5 km,20508,KMIC,KMIC,MIC,Crystal Airport,small_airport,27053,Hennepin,270531007,27053,Minnesota,Hennepin,45.03972,-93.29874,TRUE,FALSE
9048,267,2311.276530710733,2.311276530710733,1-3 km,20509,KMIO,KMIO,MIO,Miami Municipal Airport,small_airport,40115,Ottawa,401150522,40115,Oklahoma,Ottawa,36.926603,-94.873439,TRUE,FALSE
9056,76,3727.7712965740952,3.7277712965740952,3-5 km,3689,KMKC,KMKC,MKC,Charles B. Wheeler Downtown Airport,medium_airport,29047,Clay,202090021,20209,Kansas,Wyandotte,39.117219,-94.635605,FALSE,FALSE
9570,179,613.803023449608,0.6138030234496079,0-1 km,3842,KRDG,KRDG,RDG,Reading Regional Airport (Carl A Spaatz Field),medium_airport,42011,Berks,420110011,42011,Pennsylvania,Berks,40.38335,-75.9686,TRUE,FALSE
9570,180,4485.016985721154,4.485016985721154,3-5 km,3842,KRDG,KRDG,RDG,Reading Regional Airport (Carl A Spaatz Field),medium_airport,42011,Berks,420110020,42011,Pennsylvania,Berks,40.385981,-75.912856,TRUE,FALSE
9570,183,4275.069952682621,4.275069952682621,3-5 km,3842,KRDG,KRDG,RDG,Reading Regional Airport (Carl A Spaatz Field),medium_airport,42011,Berks,420111717,42011,Pennsylvania,Berks,40.377222,-75.914444,TRUE,FALSE
9584,40,464.03909672841684,0.4640390967284168,0-1 km,20928,KRHV,KRHV,RHV,Reid-Hillview Airport of Santa Clara County,small_airport,06085,Santa Clara,060852011,06085,California,Santa Clara,37.329841,-121.815438,TRUE,TRUE
