distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos,post,treated,treated_post,log_lead
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-01-01,0.006,6,1,FALSE,11.766676839192732,4.045963805871875,82.66666666666667,100.50333333333333,-0.3435494773566269,-0.36472917651987075,FALSE,FALSE,0,-4.961845129926823
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-02-01,0.002,4,1,FALSE,9.635003662109398,5.932425664181993,84.74500274658203,99.595,0.41378538373865287,-0.5088275994951161,FALSE,FALSE,0,-5.809142990314028
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-03-01,0.0031666666666666666,6,1,FALSE,12.619999186197939,6.865607240282055,73.16666666666667,100.08,0.5777176924593449,0.4506499002388746,FALSE,FALSE,0,-5.480638923341991
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-04-01,0.004,4,1,FALSE,14.534997558593773,7.2715563208011975,69.875,100.205,-0.16251030010812945,0.43854171960444577,FALSE,FALSE,0,-5.298317366548036
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-05-01,0.0052,5,1,FALSE,14.438012695312523,7.390646684572178,67.75,99.806,0.45641239504627235,0.8785256874529296,FALSE,FALSE,0,-5.083205986931091
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-06-01,0.003,4,1,FALSE,16.999993896484398,8.651137261231625,63.25,99.66,0.728127660303328,0.662470955856471,FALSE,FALSE,0,-5.521460917862246
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-07-01,0.0076,5,1,FALSE,15.592004394531273,4.809919513831866,78.15,99.85,0.413207651661047,0.7397361371431195,FALSE,FALSE,0,-4.755993075722675
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-08-01,0.007666666666666667,6,1,FALSE,19.436680094401066,5.392526932475034,63.333333333333336,99.61666666666667,-0.03965249152579741,0.36396908391081306,FALSE,FALSE,0,-4.748271029628765
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-09-01,0.005666666666666667,6,1,FALSE,17.45666910807294,5.224462491220638,70.83333333333333,99.90166666666667,-0.4208149070372484,0.7745145744327786,FALSE,FALSE,0,-5.0106352940962555
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-10-01,0.0184,5,1,FALSE,14.547998046875023,5.09277678119499,82.5980010986328,99.928,-0.8673309015439954,0.32189810851625855,FALSE,FALSE,0,-3.9424822129128545
