monitor_id,date,air_temp,wind_speed,wind_dir,rhum,pres,month
040134018,2016-01-01,8.374993896484398,2.332514556566527,289.4059546220425,38.5,94.2225,2016-01-01
040134018,2016-01-07,8.999993896484398,8.321657800937933,122.73523712150649,84.5,94.0175,2016-01-01
040134018,2016-01-13,5.824975585937523,2.7268336172769803,2.1016227286380627,37.75,94.5025,2016-01-01
040134018,2016-01-31,16.549981689453148,4.66904826813735,223.26430581300826,45.5,93.9475,2016-01-01
040134018,2016-02-06,11.700006103515648,3.1484114577209197,20.44955377777461,20.5,94.9425,2016-02-01
040134018,2016-02-12,17.524987792968773,1.86077805323799,353.82977323467503,19,94.5775,2016-02-01
040134018,2016-02-18,21.800012207031273,4.194118348274214,132.3426178982089,21.75,93.8625,2016-02-01
040134018,2016-02-24,13.799981689453148,4.778334880084371,13.309164575832312,19.25,94.405,2016-02-01
040134018,2016-03-01,21.800012207031273,8.823866973120039,282.93377466873403,19.5,94.31,2016-03-01
040134018,2016-03-07,14.075006103515648,2.601922240945299,87.7974189389302,55.5,93.7125,2016-03-01
040134018,2016-03-13,13.475000000000023,3.4045007168647228,272.9464224532288,34,94.3775,2016-03-01
040134018,2016-03-25,18.274987792968773,3.487924502457776,20.123431413529147,9.5,93.875,2016-03-01
040134018,2016-03-28,19.950006103515648,8.360022361716599,96.87000182689434,30.75,93.9275,2016-03-01
040134018,2016-03-31,12.199975585937523,8.075619205259917,78.02912762252265,35.25,93.8625,2016-03-01
040134018,2016-04-06,23.999993896484398,4.830114575166916,297.0955266133988,17.75,94.3675,2016-04-01
040134018,2016-04-13,18.850000000000023,2.200140839371454,36.21885864248685,50.25,94.405,2016-04-01
040134018,2016-04-18,18.399987792968773,2.9017228206007153,358.02503523500656,22.5,94.2075,2016-04-01
040134018,2016-04-24,19.600000000000023,4.201859482093123,88.2952874453864,31.75,93.79,2016-04-01
040134018,2016-04-30,16.374993896484398,10.587994885729174,243.79795285167194,49,93.6325,2016-04-01
040134018,2016-05-06,18.624963378906273,10.403966659825468,237.7611176360814,45.25,93.635,2016-05-01
040134018,2016-05-12,25.224969482421898,2.9681640432220155,302.6192318296769,26.25,94.0725,2016-05-01
040134018,2016-05-18,19.775018310546898,2.367618166081177,68.31094734176708,56.5,93.7375,2016-05-01
040134018,2016-05-24,20.600000000000023,1.6007806497770793,141.34025105195792,30.5,93.7875,2016-05-01
040134018,2016-05-30,23.374993896484398,5.342342716761631,103.25588439954606,36.5,93.935,2016-05-01
040134018,2016-06-05,33.70000610351565,3.3900582848100855,52.79209525398596,13,93.6375,2016-06-01
040134018,2016-06-11,26.274987792968773,9.12006553209682,99.3074110357527,39.5,94.0175,2016-06-01
040134018,2016-06-17,28.100000000000023,2.2103452958312526,313.6251142617002,17.25,94.15,2016-06-01
040134018,2016-06-23,32.57497558593752,7.382411953187744,98.56915373554148,23.5,93.97,2016-06-01
040134018,2016-07-11,31.800012207031273,3.607719099340518,255.96374367525283,19.25,93.72,2016-07-01
040134018,2016-07-14,32.74996337890627,1.7651121753563517,105.61103780424344,19.75,94.0975,2016-07-01
