distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos,post,treated,treated_post,log_lead
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2017-09-01,0.00392,5,1,FALSE,20.134991455078147,1.6297508940298395,59.65,99.5935,-0.7656077767728052,0.39897492830439873,FALSE,FALSE,0,-5.314446748477921
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2017-10-01,0.005933333333333333,6,1,FALSE,15.933323160807314,3.0571875071624013,64.33333333333333,100.1275,-0.7760910035360773,0.3279694819118444,FALSE,FALSE,0,-4.971414580942975
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2017-11-01,0.004533333333333334,6,1,FALSE,13.533319091796898,3.2089801289319415,79.66666666666667,99.96666666666667,0.44602127363388094,-0.12693791545769506,FALSE,FALSE,0,-5.196964872287749
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2017-12-01,0.007575,4,1,FALSE,11.47498474121096,7.744540263694995,58.125,100.7425,-0.9037288829552168,0.4239266864777552,FALSE,FALSE,0,-4.758904285930133
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-01-01,0.0045249999999999995,6,1,FALSE,12.249983723958357,2.182318848956064,76,100.44,0.22898086057097242,0.5614149415218512,FALSE,FALSE,0,-5.198472031578321
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-02-01,0.0058975,4,1,FALSE,10.42499694824221,6.908188010549963,72,100.045,-0.432730324231615,0.5847904311453495,FALSE,FALSE,0,-4.976596251872833
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-03-01,0.0014733333333333332,6,1,FALSE,9.749993896484398,3.553249260690934,80.25,100.0575,0.03806969529820572,0.023882772964261053,FALSE,FALSE,0,-6.002188510470957
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-04-01,0.0013875,4,1,FALSE,12.42499694824221,2.515122416193055,84.5,100.345,-0.3963122525908505,0.8048550449744367,FALSE,FALSE,0,-6.037508485609389
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-05-01,0.0028,6,1,FALSE,13.47082417805992,1.5924825043864634,83.33333333333333,99.92166666666667,-0.47303307331237393,-0.0766607044450933,FALSE,FALSE,0,-5.572754212249797
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-06-01,0.0040425,4,1,FALSE,15.02497253417971,3.4766993086381173,79.625,99.85499999999999,-0.9443094475070207,-0.06218694310360762,FALSE,FALSE,0,-5.289853288135907
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-07-01,0.0030566666666666667,6,1,FALSE,19.31666463216148,3.9361429895431863,68.33333333333333,99.89416666666666,-0.8276006198767116,0.2487966482775807,FALSE,FALSE,0,-5.507393660650811
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-08-01,0.004713333333333333,6,1,FALSE,18.34998982747398,4.4400271747770805,68.25,99.91916666666667,-0.8033198095606588,0.3346459612070849,FALSE,FALSE,0,-5.164952654480613
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-09-01,0.0058175,4,1,FALSE,19.587503051757835,2.0676701768505934,61,99.515,0.458346080773692,0.8766165183473253,FALSE,FALSE,0,-4.988262443244531
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-10-01,0.010538333333333334,6,1,FALSE,15.716668701171898,3.4940431075999205,78.83333333333333,100.16083333333333,-0.7508967740406504,0.6518149655261686,FALSE,FALSE,0,-4.462080453520258
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-11-01,0.02141,4,1,FALSE,13.837487792968773,3.982187757049454,69.625,100.00125,-0.05676918703022854,0.4954681496776935,FALSE,FALSE,0,-3.7982479911693012
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2018-12-01,0.0034583333333333332,6,1,FALSE,12.174991861979189,5.37288576598099,65.08333333333333,100.14583333333333,-0.474560006316609,-0.04478537035045812,FALSE,FALSE,0,-5.412980274868176
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-01-01,0.00236,4,1,FALSE,11.649987792968773,6.077275451234257,87,99.99875,-0.43812876670920453,-0.35122758321079806,FALSE,FALSE,0,-5.6958143050070245
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-02-01,7.86e-4,5,1,FALSE,12.890002441406272,10.123471804166265,90.1,98.5065,0.43560804152931476,-0.8984540350804642,FALSE,FALSE,0,-6.3277767965278295
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-03-01,0.0036075,4,1,FALSE,10.48749694824221,7.519574122105279,84.625,99.90875,-0.8145318492947737,-0.5053806438575155,FALSE,FALSE,0,-5.3800698684202954
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-04-01,0.0037516666666666666,6,1,FALSE,13.566654459635439,3.327242761199305,81.25,99.6875,-0.18863276012290958,-0.08812409856498932,FALSE,FALSE,0,-5.349259845285611
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-05-01,0.00216,4,1,FALSE,13.61249694824221,7.314867291407403,85.125,99.5625,-0.0020794704049847956,-0.04725085813138476,FALSE,FALSE,0,-5.757183251383316
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-06-01,0.0032216666666666665,6,1,FALSE,17.074985758463566,3.13677962429631,73.91666666666667,99.55333333333333,0.12423756454646977,-0.15772610041580362,FALSE,FALSE,0,-5.467525284196608
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-07-01,0.00487,4,1,FALSE,17.337487792968773,6.567305334688023,74.25,99.68875,-0.9861528745539136,-0.1269329589547232,FALSE,FALSE,0,-5.137900645142132
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-08-01,0.0026683333333333333,6,1,FALSE,19.558323160807316,2.7541060150981944,70.75,99.78750000000001,-0.48088651640652896,0.45893294623570663,FALSE,FALSE,0,-5.608017852671821
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-09-01,0.004771666666666667,6,1,FALSE,16.775008138020855,4.084718274100926,77.25,99.7925,-0.5472141447959431,0.48226620332734865,FALSE,FALSE,0,-5.154794389795861
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-10-01,0.0076875,4,1,FALSE,20.47498474121096,7.248103460234398,39.25,99.6625,-0.8942941881272952,0.375320978269833,FALSE,FALSE,0,-4.745870068091226
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-11-01,0.00804,6,1,FALSE,12.574985758463564,3.378720305826754,73.33333333333333,99.58666666666667,-0.408372274887463,0.7252226141128838,FALSE,FALSE,0,-4.706096104578052
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2019-12-01,0.005405,4,1,FALSE,11.48749694824221,5.976489291747407,87.25,100.00625,-0.8902249613334459,0.03886373008623295,FALSE,FALSE,0,-5.050676343633439
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2020-01-01,0.005515,6,1,FALSE,11.158329264322939,3.0911608891331546,87.08333333333333,100.4325,-0.6973575545111699,-0.5142480697435947,FALSE,FALSE,0,-5.033648068405329
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2020-02-01,0.00502,3,1,FALSE,11.716658528645857,6.594318087245767,71.83333333333333,99.955,-0.05869312271113245,0.9844533613170787,FALSE,FALSE,0,-5.112668019661407
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2020-03-01,0.0053775,4,1,FALSE,10.749993896484398,3.931546540731759,83.375,99.765,0.4571818740109038,0.4777614456090261,FALSE,FALSE,0,-5.0549791079483075
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-04-01,0.00222,1,1,FALSE,11.925012207031273,2.4698191198927564,71.25,100.4725,-0.8502653318409034,0.5263543155228031,FALSE,FALSE,0,-5.73837391942582
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-05-01,0.00197,1,1,FALSE,14.825006103515648,3.678654306419918,68,99.495,0.5164932113469587,0.8562912837536687,FALSE,FALSE,0,-5.819193326167529
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-06-01,0.0023266666666666666,3,1,FALSE,16.525008138020855,3.909025229054479,76.16666666666667,99.685,-0.6235845131295907,0.7131120538742354,FALSE,FALSE,0,-5.705784477326874
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-07-01,0.00324,2,1,FALSE,18.999993896484398,4.332195439051601,64.375,99.61,-0.8255266582760463,0.5620131377730663,FALSE,FALSE,0,-5.463192009738271
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-08-01,0.0034933333333333335,3,1,FALSE,17.300012207031273,2.4497804307444824,74.5,99.98583333333333,-0.21256195231458777,0.8100302400487085,FALSE,FALSE,0,-5.405160462166085
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-09-01,0.002985,2,1,FALSE,17.225000000000023,3.5367616674361084,80.5,99.9225,-0.7989054498060271,0.4410474278493685,FALSE,FALSE,0,-5.525217966739959
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-10-01,0.004676666666666667,3,1,FALSE,14.024977620442732,3.690488399975192,77.5,99.50833333333334,-0.31308469942738715,0.22368573907276268,FALSE,FALSE,0,-5.17139107297565
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-11-01,0.00466,3,1,FALSE,12.899997965494814,4.816413076604665,88.16666666666667,100.17,-0.7557552076330183,0.5220931509776721,FALSE,FALSE,0,-5.1743313867670455
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2021-12-01,0.001335,2,1,FALSE,9.737481689453148,3.7491118137901163,87.5,99.86375000000001,-0.4882020615644579,-0.8434170976744599,FALSE,FALSE,0,-6.0597433878612765
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-01-01,0.007149999999999999,3,1,FALSE,12.058333333333357,1.8113416649516905,82.58333333333333,100.51083333333334,-0.1738997100875621,0.6282251638941341,TRUE,FALSE,0,-4.809737351729366
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-02-01,0.0035,3,1,FALSE,10.616642252604189,2.68005927467317,71.33333333333333,100.30083333333333,0.10270274277031309,0.8613218416879441,TRUE,FALSE,0,-5.403677882205863
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-03-01,0.00343,1,1,FALSE,10.975000000000023,3.422352622504513,84.5,100.315,-0.905809613026947,0.42368495954892316,TRUE,FALSE,0,-5.419355694925093
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-04-01,0.00183,3,1,FALSE,11.591668701171898,4.011366349338308,80.91666666666667,100.0875,-0.08786561799339027,0.8703647393991899,TRUE,FALSE,0,-5.867478567326991
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-05-01,0.002043333333333333,3,1,FALSE,13.216658528645857,4.265321712193706,81.5,99.88083333333333,-0.7131018859584177,0.6631592536504021,TRUE,FALSE,0,-5.79480187304337
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-06-01,0.003635,2,1,FALSE,19.03748474121096,2.3910697118211615,64.625,99.55,0.549025942698489,0.5790698644170733,TRUE,FALSE,0,-5.374119079964318
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-07-01,0.0023750000000000004,2,1,FALSE,15.900003051757835,6.828975526525855,78.625,99.66749999999999,-0.9078081737984893,0.3706747137932604,TRUE,FALSE,0,-5.691359954657644
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-08-01,0.002745,2,1,FALSE,17.387490844726585,3.750666340650575,81.125,99.71125,-0.9202331479171271,-0.12138654425769632,TRUE,FALSE,0,-5.587333662012954
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-09-01,0.0026966666666666667,3,1,FALSE,16.78332926432294,4.453241575320662,79,99.6075,-0.8659739756781496,0.2930026469029937,TRUE,FALSE,0,-5.600323766287971
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-10-01,0.00332,2,1,FALSE,15.16248474121096,4.118672231053457,77.5,100.10624999999999,-0.783839298095503,0.570214748847411,TRUE,FALSE,0,-5.444499876726118
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-11-01,0.00811,3,1,FALSE,12.841658528645857,6.196567617260154,71.16666666666667,100.1175,-0.9586696647208383,0.0655859501854905,TRUE,FALSE,0,-4.69838256771027
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2022-12-01,0.0036233333333333334,3,1,FALSE,10.674991861979189,6.948727750103746,85.66666666666667,99.985,-0.884440319984095,-0.04169051067956566,TRUE,FALSE,0,-5.3766393333235065
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-01-01,0.0063,2,1,FALSE,11.424981689453148,5.90198278014126,75.75,100.44624999999999,0.621845199786078,-0.37590364743392063,TRUE,FALSE,0,-4.919880930827792
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-02-01,0.001755,2,1,FALSE,11.03748474121096,5.559967998316191,73.875,100.2775,0.09203609405964597,-0.43033651991946087,TRUE,FALSE,0,-5.894337836377259
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-03-01,0.00298,3,1,FALSE,9.408339436848982,5.522908407840173,81.08333333333333,100.14583333333333,0.15204775312768795,0.33706922592856853,TRUE,FALSE,0,-5.526473459685791
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-04-01,0.008573333333333334,3,1,FALSE,10.891656494140648,3.1016441972382163,79.25,100.06750000000001,0.41352477967291057,0.6174540412321445,TRUE,FALSE,0,-4.648773823470223
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-05-01,0.0029300000000000003,2,1,FALSE,13.42499694824221,6.772437589924024,79.375,99.7575,-0.06809259835416531,0.15001334353967263,TRUE,FALSE,0,-5.539115853100967
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-06-01,0.0029833333333333335,3,1,FALSE,15.625004069010439,4.016253006896488,76,99.59333333333333,-0.04197849576782935,-0.3093591741489189,TRUE,FALSE,0,-5.525636289272727
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-07-01,0.0048000000000000004,2,1,FALSE,17.78748474121096,3.1535720874453763,70,99.57374999999999,0.6307623170196816,0.735166543548768,TRUE,FALSE,0,-5.149897361429764
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-08-01,0.00281,3,1,FALSE,18.391646321614605,3.131861515052622,75.33333333333333,99.90666666666667,-0.29136465526085403,0.5194578794162877,TRUE,FALSE,0,-5.570126089843527
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-09-01,0.002425,2,1,FALSE,17.499978637695335,3.62913171708609,74.5,99.70375,-0.4290576741464713,-0.1962045235919812,TRUE,FALSE,0,-5.676653807267948
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-10-01,0.005406666666666666,3,1,FALSE,14.999993896484398,2.580145911752681,78.16666666666667,100.11833333333334,-0.08544033429278214,0.5866092102390308,TRUE,FALSE,0,-5.050416164108101
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-11-01,0.002845,2,1,FALSE,13.374978637695335,4.284359165256458,71.125,100.60875,0.6309403442255223,0.7725554495492972,TRUE,FALSE,0,-5.56098167602453
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2023-12-01,0.010906666666666667,3,1,FALSE,12.358321126302107,1.968942794976262,81.75,100.42666666666666,-0.2031995204758688,0.549888507837989,TRUE,FALSE,0,-4.430656811641948
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-01-01,0.00428,3,1,FALSE,12.058312988281273,5.012746072572521,80.66666666666667,99.76,0.10784024911242258,-0.36460302927945143,TRUE,FALSE,0,-5.243829181263967
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-02-01,0.006055,2,1,FALSE,12.074990844726585,3.1919988912665755,79.375,100.23249999999999,-0.5310488936762467,0.6995117901569745,TRUE,FALSE,0,-4.95401869367736
