monitor_id,date,air_temp,wind_speed,wind_dir,rhum,pres,month
060070002,2000-01-07,4.870019531250023,0.7582271095542675,221.256646733209,76.75,94.48,2000-01-01
060070002,2000-01-19,7.399987792968773,3.4331311228459205,174.98683283845162,93.75,93.71,2000-01-01
060070002,2000-01-31,4.089990234375023,5.816729761404714,165.05588032396633,92.75,93.57,2000-01-01
060070002,2000-02-12,6.320001220703148,12.438204987970192,240.26084658006334,93.25,92.54,2000-02-01
060070002,2000-02-24,4.070001220703148,0.5200042724609375,180,79.74000549316406,93.22,2000-02-01
060070002,2000-03-07,4.750024414062523,7.4953341606432815,103.10918018684947,87.25,92.8,2000-03-01
060070002,2000-03-19,9.800012207031273,2.975155667389442,5.78731802872403,77.5,93.91,2000-03-01
060070002,2000-03-31,9.050012207031273,7.294493696018915,68.78204356767503,73.5,94.15,2000-03-01
060070002,2000-04-12,15.719995117187523,1.1539436880547187,334.32303987603535,64,93.61,2000-04-01
060070002,2000-04-24,7.850000000000023,7.633224574663177,55.622943778734964,81.75,93.96,2000-04-01
060070002,2000-05-06,10.350000000000023,4.586287289692825,53.77980678003729,62.24000549316406,93.24,2000-05-01
060070002,2000-05-18,14.149987792968773,7.2861550488252185,33.297503247172756,69.5,93.81,2000-05-01
060070002,2000-05-30,12.649987792968773,8.258235023486302,35.53769009861742,58.25,93.27,2000-05-01
060070002,2000-06-11,12.120019531250023,7.722404481861076,60.18150975448896,66.75,93.56,2000-06-01
060070002,2000-06-29,22.469995117187523,5.183835764653517,297.45478209893486,47.5,93.34,2000-06-01
060070002,2000-07-05,13.649987792968773,3.3507531219775695,34.543716703375935,67.5,93.32,2000-07-01
060070002,2000-07-17,16.149987792968773,6.857998280656693,97.45661306140119,70.75,93.53,2000-07-01
060070002,2000-07-29,22.070001220703148,6.178359373518955,50.97813726331515,47.25,93.41,2000-07-01
060070002,2000-08-10,18.200006103515648,4.017075601322757,95.28475174472112,61.25,93.41,2000-08-01
060070002,2000-08-16,19.399987792968773,5.46670170011958,33.28314846292716,41.5,93.69,2000-08-01
060070002,2000-08-28,19.990014648437523,4.881864251686892,237.12368689071945,40,93.11,2000-08-01
060070002,2000-09-03,11.300012207031273,3.241972379915804,99.22996942465721,86,93.51,2000-09-01
060070002,2000-09-21,20.269982910156273,4.064283670933168,259.79600934172885,53.25,92.44,2000-09-01
060070002,2000-09-28,16.350000000000023,4.1869309052489685,43.83865735158906,57,93.61,2000-09-01
060070002,2000-10-09,16.300012207031273,3.2783586740522,171.22727734455793,61.25,93.12,2000-10-01
060070002,2000-10-21,9.670007324218773,3.018875126813498,327.9944940020462,85.75,93.47,2000-10-01
060070002,2000-11-02,10.120019531250023,0.989945177823879,225,79.25,93.86,2000-11-01
060070002,2000-11-14,3.6200195312500227,3.9912585804755585,181.43576951201112,93.25,93.42,2000-11-01
