State Code,County Code,Site Num,Parameter Code,POC,latitude,longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,date,lon_360,day_idx,temp_k,uwnd,vwnd,rhum,pres,air_temp,wind_speed,wind_dir
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-05-12,Micrograms/cubic meter (25 C),None,1,100,0.04,0.04,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-05-12,284.777597,133,289.989990234375,9.6999969482421875,2.3899993896484375,78.5,99.65,16.839990234375023,9.990096990441467,256.15849665756656
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-05-18,Micrograms/cubic meter (25 C),None,1,100,0.04,0.04,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-05-18,284.777597,139,290,0.4000091552734375,10.57000732421875,87.25,100.49,16.850000000000023,10.577573547763238,182.167255325654
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-05-24,Micrograms/cubic meter (25 C),None,1,100,0.03,0.03,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-05-24,284.777597,145,289.1400146484375,6.5,4.8699951171875,91.25,98.89,15.990014648437523,8.121998057216592,233.15834749006547
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-05-30,Micrograms/cubic meter (25 C),None,1,100,0.03,0.03,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-05-30,284.777597,151,284.32000732421875,8.8000030517578125,-3.6100006103515625,75.25,100.86,11.170007324218773,9.51168534580941,292.3047725144951
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-06-05,Micrograms/cubic meter (25 C),None,1,100,0.03,0.03,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-06-05,284.777597,157,287.9700012207031,0.100006103515625,0.07000732421875,76.75,100.52,14.820001220703148,0.12207475654142048,235.00680638087312
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-06-17,Micrograms/cubic meter (25 C),None,1,100,0.04,0.04,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-06-17,284.777597,169,296.70001220703125,7.6999969482421875,6.8000030517578125,85,100.17,23.550012207031273,10.27277929806995,228.55170932974426
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-06-23,Micrograms/cubic meter (25 C),None,1,100,0.04,0.04,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-06-23,284.777597,175,295.2200012207031,-2.1999969482421875,0.6500091552734375,72.25,99.87,22.070001220703148,2.2940136168327827,106.46025570197708
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-07-05,Micrograms/cubic meter (25 C),None,1,100,0.02,0.02,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-07-05,284.777597,187,295.82000732421875,0.8000030517578125,-1.339996337890625,86.5,99.77,22.670007324218773,1.560639313993499,329.16200293708914
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-07-11,Micrograms/cubic meter (25 C),None,1,100,0.02,0.02,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-07-11,284.777597,193,295.3500061035156,-1.399993896484375,-3.7400054931640625,76,99.78,22.200006103515648,3.993447633197519,20.52235071651154
42,101,0136,12128,1,39.927613,-75.222403,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,2000-07-17,Micrograms/cubic meter (25 C),None,1,100,0.01,0.01,0,NA,092,HI-VOL - ATOMIC ABSORPTION,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-09,2000-07-17,284.777597,199,293.8699951171875,-0.899993896484375,2.0200042724609375,91.5,99.94,20.719995117187523,2.2114262986745836,155.98508733356584
