"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-01-04","Micrograms/cubic meter (LC)","None",1,100.0,0.066,0.066,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-01-10","Micrograms/cubic meter (LC)","None",1,100.0,0.052,0.052,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-01-16","Micrograms/cubic meter (LC)","None",1,100.0,0.009,0.009,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-01-22","Micrograms/cubic meter (LC)","None",1,100.0,0.007,0.007,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-01-28","Micrograms/cubic meter (LC)","None",1,100.0,0.008,0.008,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-02-03","Micrograms/cubic meter (LC)","None",1,100.0,0.019,0.019,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-02-09","Micrograms/cubic meter (LC)","None",1,100.0,0.009,0.009,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-02-15","Micrograms/cubic meter (LC)","None",1,100.0,0.096,0.096,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-02-21","Micrograms/cubic meter (LC)","None",1,100.0,0.014,0.014,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","85129",1,33.553056,-86.815,"WGS84","Lead PM10 LC FRM/FEM","24 HOUR","Lead 3-Month PM10 Surrogate 2009","2012-02-27","Micrograms/cubic meter (LC)","None",1,100.0,0.015,0.015,0,"","808","BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
