"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-01","Micrograms/cubic meter (LC)","None",1,100.0,0.015,0.015,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-07","Micrograms/cubic meter (LC)","None",1,100.0,0.001,0.001,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-13","Micrograms/cubic meter (LC)","None",1,100.0,0.049,0.049,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-19","Micrograms/cubic meter (LC)","None",1,100.0,0.025,0.025,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-25","Micrograms/cubic meter (LC)","None",1,100.0,0.053,0.053,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-01-31","Micrograms/cubic meter (LC)","None",1,100.0,0.267,0.267,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-02-06","Micrograms/cubic meter (LC)","None",1,100.0,0.041,0.041,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-02-18","Micrograms/cubic meter (LC)","None",1,100.0,0.126,0.126,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-02-24","Micrograms/cubic meter (LC)","None",1,100.0,0.062,0.062,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
"01","109","0003","14129",1,31.790479,-85.978974,"NAD83","Lead (TSP) LC","24 HOUR","Lead 3-Month 2009","2025-03-02","Micrograms/cubic meter (LC)","None",1,100.0,0.283,0.283,0,"","813","HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2025-10-10"
