"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-15","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0095,0.0095,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-21","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0129,0.0129,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-27","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0147,0.0147,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-08-08","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0268,0.0268,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-08-20","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0184,0.0184,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-09-01","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0374,0.0374,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-09-13","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0421,0.0421,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-09-25","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0191,0.0191,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-10-07","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0036,0.0036,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-10-19","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0729,0.0729,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-10-31","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0347,0.0347,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-11-12","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0283,0.0283,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-11-24","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0036,0.0036,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-12-06","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0643,0.0643,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-12-18","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0077,0.0077,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0023","12128",6,33.553056,-86.815,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-12-30","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0275,0.0275,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","North Birmingham","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-15","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0068,0.0068,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-21","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0165,0.0165,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-07-27","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0249,0.0249,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-08-08","Micrograms/cubic meter (25 C)","Included",1,100.0,0.011,0.011,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-08-20","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0351,0.0351,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-09-01","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0121,0.0121,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
"01","073","0028","12128",6,33.529444,-86.850278,"WGS84","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2005-09-13","Micrograms/cubic meter (25 C)","Included",1,100.0,0.0121,0.0121,0,"","089","HI-VOL - ICP/MS W/QUARTZ FILTER","","EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.","Alabama","Jefferson","Birmingham","Birmingham-Hoover, AL","2021-11-08"
