"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-01-07","Micrograms/cubic meter (25 C)","None",1,100.0,3.473,3.473,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-01-14","Micrograms/cubic meter (25 C)","None",1,100.0,0.193,0.193,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-01-19","Micrograms/cubic meter (25 C)","None",1,100.0,0.037,0.037,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-01-25","Micrograms/cubic meter (25 C)","None",1,100.0,0.364,0.364,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-01-31","Micrograms/cubic meter (25 C)","None",1,100.0,0.348,0.348,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-02-06","Micrograms/cubic meter (25 C)","None",1,100.0,1.1,1.1,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-02-12","Micrograms/cubic meter (25 C)","None",1,100.0,3.608,3.608,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-02-18","Micrograms/cubic meter (25 C)","None",1,100.0,0.251,0.251,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-02-24","Micrograms/cubic meter (25 C)","None",1,100.0,0.149,0.149,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-03-01","Micrograms/cubic meter (25 C)","None",1,100.0,1.913,1.913,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-03-07","Micrograms/cubic meter (25 C)","None",1,100.0,0.83,0.83,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-03-25","Micrograms/cubic meter (25 C)","None",1,100.0,0.631,0.631,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-03-31","Micrograms/cubic meter (25 C)","None",1,100.0,1.044,1.044,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-04-06","Micrograms/cubic meter (25 C)","None",1,100.0,0.267,0.267,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-04-12","Micrograms/cubic meter (25 C)","None",1,100.0,0.195,0.195,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-04-18","Micrograms/cubic meter (25 C)","None",1,100.0,1.624,1.624,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-04-24","Micrograms/cubic meter (25 C)","None",1,100.0,0.299,0.299,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-04-30","Micrograms/cubic meter (25 C)","None",1,100.0,1.819,1.819,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-05-06","Micrograms/cubic meter (25 C)","None",1,100.0,0.231,0.231,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-05-12","Micrograms/cubic meter (25 C)","None",1,100.0,0.052,0.052,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-05-24","Micrograms/cubic meter (25 C)","None",1,100.0,0.065,0.065,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-05-30","Micrograms/cubic meter (25 C)","None",1,100.0,0.379,0.379,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-06-05","Micrograms/cubic meter (25 C)","None",1,100.0,0.986,0.986,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-06-23","Micrograms/cubic meter (25 C)","None",1,100.0,0.06,0.06,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-06-29","Micrograms/cubic meter (25 C)","None",1,100.0,0.094,0.094,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-07-05","Micrograms/cubic meter (25 C)","None",1,100.0,0.243,0.243,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-07-17","Micrograms/cubic meter (25 C)","None",1,100.0,0.035,0.035,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-07-23","Micrograms/cubic meter (25 C)","None",1,100.0,0.159,0.159,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-07-29","Micrograms/cubic meter (25 C)","None",1,100.0,0.935,0.935,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-08-04","Micrograms/cubic meter (25 C)","None",1,100.0,0.7,0.7,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-08-10","Micrograms/cubic meter (25 C)","None",1,100.0,0.055,0.055,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-08-16","Micrograms/cubic meter (25 C)","None",1,100.0,0.447,0.447,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
"01","109","0003","12128",3,31.790479,-85.978974,"NAD83","Lead (TSP) STP","24 HOUR","Lead Quarterly 1978","2008-08-22","Micrograms/cubic meter (25 C)","None",1,100.0,0.1,0.1,0,"","107","HI-VOL - Flameless Atomic absorption (GFAA)","TROY LEAD","HENDERSON ROAD","Alabama","Pike","Troy","Troy, AL","2021-11-08"
